Job,Name,Frequency
Costume Design,Ellen Mirojnick,8
Costume Design,Kym Barrett,7
Costume Design,Janty Yates,7
Costume Design,Mary Zophres,7
Costume Design,Penny Rose,6
Costume Design,Isis Mussenden,6
Costume Design,Richard Taylor,6
Costume Design,Judianna Makovsky,6
Costume Design,Ngila Dickson,6
Set Decoration,Anna Pinnock,11
Set Decoration,Rosemary Brandenburg,10
Set Decoration,Victor J. Zolfo,9
Set Decoration,Larry Dias,9
Set Decoration,Richard Roberts,8
Set Decoration,Robert Gould,8
Set Decoration,Leslie A. Pope,7
Set Decoration,Anne Kuljian,7
Set Decoration,Elizabeth Wilcox,7
Set Decoration,Nancy Haigh,7
Set Decoration,Garrett Lewis,7
Set Decoration,Leslie E. Rollins,7
Set Decoration,Ronald R. Reiss,6
Set Decoration,Jennifer Williams,6
Set Decoration,Lauri Gaffin,6
Set Decoration,Gary Fettis,6
Set Decoration,Douglas A. Mowat,6
Set Decoration,Kristen Toscano Messina,6
Set Decoration,Peter Howitt,6
Set Decoration,Stephanie McMillan,5
Sound Effects Editor,Christopher Assells,14
Sound Effects Editor,Teresa Eckton,11
Sound Effects Editor,Dino Dimuro,10
Sound Effects Editor,David C. Hughes,9
Sound Effects Editor,Dan Hegeman,8
Sound Effects Editor,Michael W. Mitchell,7
Sound Effects Editor,Lee Gilmore,7
Sound Effects Editor,Ken Fischer,6
Sound Effects Editor,J.R. Grubbs,6
Sound Effects Editor,Jeremy Bowker,6
Sound Effects Editor,E. Larry Oatfield,6
Sound Effects Editor,Peter Staubli,6
Sound Effects Editor,Jason W. Jennings,6
Sound Effects Editor,Shannon Mills,5
Sound Effects Editor,David Grimaldi,5
Sound Effects Editor,Scott Guitteau,5
Sound Effects Editor,Hamilton Sterling,5
Sound Effects Editor,Doug Jackson,5
Sound Effects Editor,Hector C. Gika,5
Sound Effects Editor,Jon Title,5
Sound Re-Recording Mixer,Paul Massey,14
Sound Re-Recording Mixer,Ron Bartlett,12
Sound Re-Recording Mixer,Bob Beemer,12
Sound Re-Recording Mixer,Doug Hemphill,11
Sound Re-Recording Mixer,Michael Semanick,10
Sound Re-Recording Mixer,Gary Summers,10
Sound Re-Recording Mixer,Andy Nelson,10
Sound Re-Recording Mixer,Kevin O'Connell,10
Sound Re-Recording Mixer,Scott Millan,9
Sound Re-Recording Mixer,Michael Keller,9
Sound Re-Recording Mixer,Michael Minkler,9
Sound Re-Recording Mixer,Tom Johnson,8
Sound Re-Recording Mixer,Christopher Boyes,8
Sound Re-Recording Mixer,Frank A. Montaño,8
Sound Re-Recording Mixer,Greg P. Russell,8
Sound Re-Recording Mixer,Gregg Landaker,8
Sound Re-Recording Mixer,Gary Rizzo,7
Sound Re-Recording Mixer,Tom Fleischman,7
Sound Re-Recording Mixer,David Parker,7
Sound Re-Recording Mixer,Anna Behlmer,7
Hairstylist,Deena Adair,7
Hairstylist,Pierce Austin,7
Hairstylist,Camille Friend,4
Hairstylist,Bonnie Clevering,4
Hairstylist,Kay Georgiou,4
Hairstylist,Lona Vigi,4
Hairstylist,Patricia DeHaney,3
Hairstylist,Flora Moody,3
Hairstylist,Jeri Baker,3
Hairstylist,Yolanda Mercadel,3
Hairstylist,Melizah Anguiano,3
Hairstylist,Peter Tothpal,3
Hairstylist,Linda D. Flowers,3
Hairstylist,Yesim 'Shimmy' Osman,3
Hairstylist,Ketty Gonzalez,3
Hairstylist,Jose Zamora,3
Hairstylist,Bunny Parker,3
Hairstylist,Joy Zapata,3
Hairstylist,Joani Yarbrough,3
Hairstylist,Lori McCoy-Bell,3
